Company Name,Stock,Ticker,ESG Risk,ESG Rating
"MYR Group, Inc.",NAS,MYRG,High ESG Risk,33.5
"Myriad Genetics, Inc.",NAS,MYGN,Medium ESG Risk,23.9
MyState Ltd.,ASX,MYS,High ESG Risk,31.7
Mytilineos SA,ATH,MYTIL,Medium ESG Risk,24.1
"N-able, Inc.",NYS,NABL,Medium ESG Risk,25.3
Nabors Industries Ltd.,NYS,NBR,Medium ESG Risk,27.3
Nabtesco Corp.,TKS,6268,Low ESG Risk,19.6
Nachi-Fujikoshi Corp.,TKS,6474,High ESG Risk,34.8
"NAFCO Co., Ltd.",TKS,2790,Medium ESG Risk,21.3
NagaCorp Ltd.,HKG,3918,Medium ESG Risk,25.8
"Nagaileben Co., Ltd.",TKS,7447,Medium ESG Risk,21.8
Nagarro SE,ETR,NA9,Medium ESG Risk,23.9
"Nagase & Co., Ltd.",TKS,8012,Medium ESG Risk,24
"Nagatanien Holdings Co., Ltd.",TKS,2899,Severe ESG Risk,44.3
"Nagawa Co., Ltd.",TKS,9663,Medium ESG Risk,24.8
"Nagoya Railroad Co., Ltd.",TKS,9048,High ESG Risk,30.9
Najran Cement Co.,SAU,3002,Severe ESG Risk,40.3
"Nakanishi, Inc.",TKS,7716,Medium ESG Risk,25.8
"Nakayama Steel Works, Ltd.",TKS,5408,High ESG Risk,39.5
"Nakilat, Inc.",-,,Medium ESG Risk,23.1
"Namchow Holdings Co., Ltd.",TAI,1702,Medium ESG Risk,28.6
Namhae Chemical Corp.,KRX,25860,Severe ESG Risk,49.1
"Namsun Aluminum Co., Ltd.",KRX,8350,High ESG Risk,34.8
"NAMYANG DAIRY PRODUCTS Co., Ltd.",KRX,3920,Severe ESG Risk,41.8
Nan Fung International Holdings Limited,-,,Medium ESG Risk,23.5
"Nan Liu Enterprise Co., Ltd.",TAI,6504,Medium ESG Risk,20.7
"Nan Pao Resins Chemical Co., Ltd.",TAI,4766,Medium ESG Risk,26.7
Nan Ya Plastics Corp.,TAI,1303,Medium ESG Risk,24.6
Nan Ya Printed Circuit Board Corp,TAI,8046,Medium ESG Risk,21.7
"NanJi E-Commerce Co., Ltd.",SHE,2127,Medium ESG Risk,26.8
"Nanjing Gaoke Co., Ltd.",SHG,600064,Medium ESG Risk,25.5
"Nanjing Hanrui Cobalt Co., Ltd.",SHE,300618,Severe ESG Risk,51.4
"Nanjing Iron & Steel Co., Ltd.",SHG,600282,High ESG Risk,36.7
"Nanjing King-friend Biochemical Pharmaceutical Co., Ltd.",SHG,603707,Severe ESG Risk,44.3
"Nanjing Securities Co., Ltd.",SHG,601990,High ESG Risk,31.9
"Nanjing Yunhai Special Metals Co., Ltd.",SHE,2182,Severe ESG Risk,43.4
"Nankai Electric Railway Co., Ltd.",TKS,9044,Medium ESG Risk,29.1
"Nankang Rubber Tire Corp., Ltd.",TAI,2101,Low ESG Risk,18.1
Nano Dimension Ltd.,NAS,NNDM,Medium ESG Risk,25.7
Nano-X Imaging Ltd.,NAS,NNOX,High ESG Risk,32.6
Nanoco Group Plc,LON,NANO,High ESG Risk,37.1
Nanofilm Technologies International Ltd.,SES,MZH,High ESG Risk,38.6
Nanosonics Ltd.,ASX,NAN,Low ESG Risk,19.1
"NanoString Technologies, Inc.",NAS,NSTG,Low ESG Risk,19.6
"NanoXplore, Inc.",TSE,GRA,Severe ESG Risk,43.3
"Nantex Industry Co., Ltd.",TAI,2108,High ESG Risk,32.2
Nanto Bank Ltd.,TKS,8367,High ESG Risk,31.2
"Nantong Jianghai Capacitor Co., Ltd.",SHE,2484,Medium ESG Risk,26.8
Nanya Technology Corp.,TAI,2408,Low ESG Risk,18.8
Nanyang Commercial Bank (China) Ltd.,-,,High ESG Risk,33.1
Nanyang Commercial Bank Ltd.,-,,High ESG Risk,32.8
"Napco Security Technologies, Inc.",NAS,NSSC,Low ESG Risk,16.2
Naphtha Israel Petroleum Corp. Ltd.,TAE,NFTA,Severe ESG Risk,59.5
Narayana Hrudayalaya Ltd.,BOM,539551,High ESG Risk,32.5
"NARI Technology Co., Ltd.",SHG,600406,Medium ESG Risk,24.2
"Nasdaq, Inc.",NAS,NDAQ,Low ESG Risk,13.1
Naspers Ltd.,JSE,NPN,Low ESG Risk,15.5
NATCO Pharma Ltd.,BOM,524816,High ESG Risk,32.7
"Natera, Inc.",NAS,NTRA,High ESG Risk,34.7
National Agricultural Development Co.,SAU,6010,Severe ESG Risk,51.1
National Aluminium Co. Ltd.,BOM,532234,High ESG Risk,31.8
National Australia Bank Ltd.,ASX,NAB,Medium ESG Risk,22
National Bank Holdings Corp.,NYS,NBHC,High ESG Risk,30.7
National Bank of Canada,TSE,NA,Low ESG Risk,15.4
National Bank of Fujairah PJSC,ADS,NBF,Medium ESG Risk,28.3
National Bank of Greece SA,ATH,ETE,Medium ESG Risk,25.8
National Bank of Kuwait SAK,KUW,NBK,Medium ESG Risk,27.8
National Bank of Kuwait-Egypt,CAI,NBKE,Medium ESG Risk,24.6
National Bank of Oman,MUS,NBOB,High ESG Risk,34.8
National Bank of Ras Al Khaimah,ADS,RAKBANK,High ESG Risk,37.3
National Beverage Corp.,NAS,FIZZ,High ESG Risk,32.5
National Central Cooling Co. PJSC,DFM,TABREED,Medium ESG Risk,27
"National CineMedia, Inc.",NAS,NCMI,Low ESG Risk,18.3
National Co. for Learning & Education,SAU,4291,Medium ESG Risk,22.3
National Energy Services Reunited Corp.,OTC,NESR,Medium ESG Risk,28.6
National Express Group Plc,LON,NEX,Low ESG Risk,13.6
National Fuel Gas Co.,NYS,NFG,Severe ESG Risk,43.8
National Gas & Industrialization Co.,SAU,2080,Severe ESG Risk,42.9
National Gas Transmission PLC,-,,Medium ESG Risk,20.5
National Grid Electricity Distribution (South Wales) Plc,-,,Severe ESG Risk,42.2
National Grid Electricity Distribution (South West) Plc,-,,Medium ESG Risk,28.2
National Grid Electricity Distribution (West Midlands) Plc,-,,High ESG Risk,40
National Grid Electricity Distribution Network Holdings Ltd.,-,,High ESG Risk,37.3
"National Grid North America, Inc.",-,,Medium ESG Risk,21.4
National Grid Plc,LON,NG,Medium ESG Risk,22.2
"National Health Investors, Inc.",NYS,NHI,Low ESG Risk,19.1
National HealthCare Corp.,ASE,NHC,High ESG Risk,34.3
National Housing Finance & Investment Corp.,-,,Low ESG Risk,18.6
National Industrialization Co.,SAU,2060,High ESG Risk,33.2
National Industries Group (Holding) SAK,KUW,NIND,Severe ESG Risk,54.7
National Instruments Corp.,NAS,NATI,Low ESG Risk,11.5
National Investments Co. KSC,KUW,NINV,High ESG Risk,38.8
National Medical Care Co.,SAU,4005,High ESG Risk,32.3
"National Presto Industries, Inc.",NYS,NPK,High ESG Risk,35.6
National Real Estate Co.,KUW,NRE,Medium ESG Risk,25.3
National Research Corp.,NAS,NRC,Medium ESG Risk,21.1
"National Retail Properties, Inc.",NYS,NNN,Low ESG Risk,16.9
National Rural Utilities Cooperative Finance Corp.,NYS,NRUC,Low ESG Risk,17.7
National Securities Clearing Corp.,-,,Medium ESG Risk,23.1
"National Silicon Industry Group Co., Ltd.",SHG,688126,Severe ESG Risk,42.9
National Storage Affiliates Trust,NYS,NSA,Medium ESG Risk,20.4
National Storage REIT,ASX,NSR,Low ESG Risk,15
"National Vision Holdings, Inc.",NAS,EYE,Low ESG Risk,17.1
"National Western Life Group, Inc.",NAS,NWLI,High ESG Risk,33.5
Nationale-Nederlanden Bank NV,-,,Low ESG Risk,14.7
Nationwide Building Society,LON,NBS,Low ESG Risk,10.2
"Nationwide Financial Services, Inc.",-,,Medium ESG Risk,28
NATS (En Route) Plc,-,,Low ESG Risk,13.3
Natura &Co Holding SA,BSP,NTCO3,High ESG Risk,32.2
"Natural Grocers by Vitamin Cottage, Inc.",NYS,NGVC,Medium ESG Risk,27
"Nature's Sunshine Products, Inc.",NAS,NATR,High ESG Risk,35.8
"NATURECELL Co., Ltd.",KRX,7390,High ESG Risk,36.7
Naturgy Energy Group SA,MCE,NTGY,Low ESG Risk,19.5
NatWest Group Plc,LON,NWG,Low ESG Risk,17.4
NatWest Markets Plc,-,,Low ESG Risk,13.6
"NAURA Technology Group Co., Ltd.",SHE,2371,Medium ESG Risk,22.9
"Nautilus Biotechnology, Inc.",NAS,NAUT,Medium ESG Risk,25.7
NAV CANADA,-,,Low ESG Risk,19
NAVER Corp.,KRX,35420,Low ESG Risk,15.4
Navient Corp.,NAS,NAVI,Medium ESG Risk,24.8
Navigator Global Investments Ltd.,ASX,NGI,High ESG Risk,32.4
Navin Fluorine International Ltd.,BOM,532504,High ESG Risk,34.5
"Navinfo Co., Ltd.",SHE,2405,Medium ESG Risk,23.8
NAXS AB (publ),-,,High ESG Risk,35.4
Nayax Ltd. (Israel),TAE,NYAX,Medium ESG Risk,25.3
Nayuki Holdings Ltd.,HKG,2150,Severe ESG Risk,47.2
Nazara Technologies Ltd.,BOM,543280,Low ESG Risk,16.1
NBCC (India) Ltd.,BOM,534309,High ESG Risk,39
NBCUniversal Media LLC,-,,Low ESG Risk,12.4
"NBT Bancorp, Inc.",NAS,NBTB,Medium ESG Risk,26.6
NCAB Group AB,OME,NCAB,Low ESG Risk,15.8
NCC AB,OME,NCC.B,Medium ESG Risk,29.1
NCC Group Plc,LON,NCC,Low ESG Risk,16.5
NCC Ltd.,BOM,500294,Severe ESG Risk,47.1
"nCino, Inc.",NAS,NCNO,Low ESG Risk,18.3
NCR Corp.,NYS,NCR,Low ESG Risk,19.8
NCsoft Corp.,KRX,36570,Low ESG Risk,12.6
Nearmap Ltd.,-,,Low ESG Risk,19.4
NEC Capital Solutions Ltd.,TKS,8793,Medium ESG Risk,29.4
NEC Corp.,TKS,6701,Low ESG Risk,15.1
NEC Networks & System Integration Corp.,TKS,1973,Low ESG Risk,17.2
"Necessity Retail REIT, Inc.",NAS,RTL,Low ESG Risk,18.9
Nedap NV,AMS,NEDAP,Low ESG Risk,13.7
Nedbank Group Ltd.,JSE,NED,Low ESG Risk,17.2
Nederlandse Gasunie NV,-,,Low ESG Risk,18.9
Nederlandse Waterschapsbank NV,-,,Negligible ESG Risk,9.9
Nederman Holding AB,OME,NMAN,Medium ESG Risk,23.5
"Neighbourly Pharmacy, Inc.",TSE,NBLY,Medium ESG Risk,22.3
Neinor Homes SA,MCE,HOME,Negligible ESG Risk,9.1
Nektar Therapeutics,NAS,NKTR,High ESG Risk,37.7
NEL ASA,OSL,NEL,High ESG Risk,33.6
Nelly Group AB,OME,NELLY,Medium ESG Risk,24.8
"Nelnet, Inc.",NYS,NNI,Medium ESG Risk,27.5
Nemak SAB de CV,MEX,NEMAKA,Medium ESG Risk,26.2
Nemetschek SE,ETR,NEM,Medium ESG Risk,23.2
Neoen SA,PAR,NEOEN,Medium ESG Risk,22.8
Neoenergia SA,BSP,NEOE3,Medium ESG Risk,23.3
NeoGames SA,NAS,NGMS,Medium ESG Risk,27.4
Neogen Corp.,NAS,NEOG,Low ESG Risk,19.2
"NeoGenomics, Inc.",NAS,NEO,Low ESG Risk,19.7
Neometals Ltd.,ASX,NMT,Severe ESG Risk,46.7
"NEOWIZ Co., Ltd.",KRX,95660,Low ESG Risk,19
NEPES Corp.,KRX,33640,High ESG Risk,34.4
NEPI Rockcastle NV,JSE,NRP,Low ESG Risk,10.5
Neptune Energy Group Ltd.,-,,Medium ESG Risk,21.4
Neptune Holdco SARL,-,,Low ESG Risk,14.1
"NerdWallet, Inc.",NAS,NRDS,Medium ESG Risk,23
"Nerdy, Inc.",NYS,NRDY,High ESG Risk,30.1
Nesco Ltd.,BOM,505355,Medium ESG Risk,26.8
Neste Corp.,HEL,NESTE,Medium ESG Risk,20.3
Nestlé (Malaysia) Bhd.,KLS,4707,Low ESG Risk,19.6
Nestlé India Ltd.,BOM,500790,Medium ESG Risk,28.3
Nestlé SA,SWX,NESN,Medium ESG Risk,27.3
Net Holding AS,IST,NTHOL.E,High ESG Risk,35.9
Net Insight AB,OME,NETI.B,Medium ESG Risk,21.3
"Net One Systems Co., Ltd.",TKS,7518,Medium ESG Risk,22.3
"Net Protections Holdings, Inc.",TKS,7383,Medium ESG Risk,25.9
"NetApp, Inc.",NAS,NTAP,Low ESG Risk,15.4
Netcare Ltd.,JSE,NTC,Medium ESG Risk,28.3
Netcompany Group A/S,CSE,NETC,Low ESG Risk,17.1
NetDragon Websoft Holdings Ltd.,HKG,777,Low ESG Risk,18.3
"NetEase, Inc.",HKG,9999,Low ESG Risk,17.7
Netel Holding AB,OME,NETEL,High ESG Risk,36
"Netflix, Inc.",NAS,NFLX,Low ESG Risk,16.3
"NETGEAR, Inc.",NAS,NTGR,Low ESG Risk,14.6
NetLink NBN Trust,SES,CJLU,Medium ESG Risk,27.1
Netmarble Corp.,KRX,251270,Low ESG Risk,18.5
Neto M.E. Holdings Ltd.,TAE,NTO,Severe ESG Risk,47.3
Neto Malinda Trading Ltd.,TAE,NTML,Medium ESG Risk,23
"NetScout Systems, Inc.",NAS,NTCT,Low ESG Risk,19.4
NetSTREIT Corp.,NYS,NTST,Low ESG Risk,19.2
"Neturen Co., Ltd.",TKS,5976,High ESG Risk,37.3
Netwealth Group Ltd.,ASX,NWL,Medium ESG Risk,26.6
Network Finance Co. Pty Ltd.,-,,Medium ESG Risk,29.9
Network International Holdings Plc,LON,NETW,Low ESG Risk,19.8
Network Rail Infrastructure Ltd.,-,,Medium ESG Risk,26.6
NEUCA SA,WAR,NEU,Low ESG Risk,14.1
Neuren Pharmaceuticals Ltd.,ASX,NEU,High ESG Risk,37.8
"Neurocrine Biosciences, Inc.",NAS,NBIX,Medium ESG Risk,24.8
Nevada Power Co.,-,,High ESG Risk,36.6
Nevro Corp.,NYS,NVRO,Medium ESG Risk,23.2
New Century Resources Ltd.,-,,Severe ESG Risk,49.5
"New China Life Insurance Co., Ltd.",HKG,1336,Medium ESG Risk,25.5
New Development Bank,-,,Low ESG Risk,15.5
"New Fortress Energy, Inc.",NAS,NFE,Severe ESG Risk,40.8
"New Gold, Inc.",TSE,NGD,High ESG Risk,34.6
New Hope Corp. Ltd.,ASX,NHC,Severe ESG Risk,49.1
"New Hope Liuhe Co., Ltd.",SHE,876,Severe ESG Risk,52.2
New Horizon Health Ltd.,HKG,6606,Medium ESG Risk,26.2
New Jersey Resources Corp.,NYS,NJR,High ESG Risk,30.4
"New Kansai International Airport Co., Ltd.",-,,Medium ESG Risk,20.5
"New Oriental Education & Technology Group, Inc.",HKG,9901,Low ESG Risk,15.2
New Pacific Metals Corp.,TSE,NUAG,Severe ESG Risk,51.7
"New Relic, Inc.",NYS,NEWR,Low ESG Risk,18
New Wave Group AB,OME,NEWA.B,Low ESG Risk,18.6
New World Development Co. Ltd.,HKG,17,Low ESG Risk,15.8
"New York Community Bancorp, Inc.",NYS,NYCB,Medium ESG Risk,27.8
New York Life Insurance Co.,-,,Low ESG Risk,18.4
"New York Mortgage Trust, Inc.",NAS,NYMT,Low ESG Risk,17
New York State Electric & Gas Corp.,-,,Medium ESG Risk,29
"Newborn Town, Inc.",HKG,9911,Medium ESG Risk,24.2
Newcastle Coal Infrastructure Group Pty Ltd.,-,,Low ESG Risk,11.2
Newcrest Mining Ltd.,ASX,NCM,Medium ESG Risk,28.6
"Newell Brands, Inc.",NAS,NWL,Low ESG Risk,13.4
Newfoundland & Labrador Hydro,-,,High ESG Risk,34.1
"Newland Digital Technology Co., Ltd.",SHE,997,Medium ESG Risk,26
"Newmark Group, Inc.",NAS,NMRK,Low ESG Risk,15.7
NewMarket Corp.,NYS,NEU,High ESG Risk,36.1
"Newmax Technology Co., Ltd.",ROCO,3630,High ESG Risk,31.5
Newmed Energy LP,TAE,NWMD,Severe ESG Risk,55.6
Newmont Corp.,NYS,NEM,Medium ESG Risk,20.5
"Newpark Resources, Inc.",NYS,NR,High ESG Risk,31.4
Newriver Reit Plc,LON,NRR,Low ESG Risk,11.5
News Corp.,NAS,NWSA,Low ESG Risk,11.6
"Nex Point Public Co., Ltd.",BKK,NEX,Medium ESG Risk,25.6
Nexa Resources SA,NYS,NEXA,Severe ESG Risk,41.7
Nexans SA,PAR,NEX,Medium ESG Risk,20.1
NEXEN TIRE Corp.,KRX,2350,Low ESG Risk,13.5
NexGen Energy Ltd.,TSE,NXE,High ESG Risk,34.9
Nexi SpA,MIL,NEXI,Low ESG Risk,12.7
Nexity SA,PAR,NXI,Low ESG Risk,16.2
"NEXON Co., Ltd.",TKS,3659,Low ESG Risk,18.2
"Nexon Games Co., Ltd.",KRX,225570,Medium ESG Risk,26.9
"NexPoint Real Estate Finance, Inc.",NYS,NREF,Medium ESG Risk,21.4
"NexPoint Residential Trust, Inc.",NYS,NXRT,Medium ESG Risk,20.8
"Nexstar Media Group, Inc.",NAS,NXST,Low ESG Risk,16.5
Next 15 Group Plc,LON,NFG,Low ESG Risk,19.7
Next Plc,LON,NXT,Low ESG Risk,15.8
"Nextage Co., Ltd.",TKS,3186,Low ESG Risk,16.4
NextDC Ltd.,ASX,NXT,Low ESG Risk,17.6
NextDecade Corp.,NAS,NEXT,High ESG Risk,38.2
Nexteer Automotive Group Ltd.,HKG,1316,Low ESG Risk,13.8
NextEnergy Solar Fund Ltd.,LON,NESF,Low ESG Risk,19.5
NextEra Energy Partners LP,NYS,NEP,Medium ESG Risk,25.2
"NextEra Energy, Inc.",NYS,NEE,Medium ESG Risk,23.2
"NextGen Healthcare, Inc.",NAS,NXGN,Low ESG Risk,17
"NexTier Oilfield Solutions, Inc.",NYS,NEX,High ESG Risk,31.7
"NEXTIN, Inc.",KRX,348210,Low ESG Risk,19.6
"NextNav, Inc.",NAS,NN,Medium ESG Risk,26.7
NEXUS AG,ETR,NXU,Low ESG Risk,19.5
Nexus Industrial REIT,TSE,NXR.UT,Medium ESG Risk,20.6
"NFI Group, Inc.",TSE,NFI,Medium ESG Risk,29.2
"Ngern Tid Lor Public Co., Ltd.",BKK,TIDLOR,Medium ESG Risk,28.5
"NGK Insulators, Ltd.",TKS,5333,Medium ESG Risk,24
NGL Energy Partners LP,NYS,NGL,Severe ESG Risk,46.2
"NGM Biopharmaceuticals, Inc.",NAS,NGM,Medium ESG Risk,25.3
NGPL PipeCo LLC,-,,Severe ESG Risk,42.4
NGS Group AB,OME,NGS,Low ESG Risk,14.3
NH Foods Ltd.,TKS,2282,High ESG Risk,37.7
NH Hotel Group SA,MCE,NHH,Medium ESG Risk,25.3
"NH Investment & Securities Co., Ltd.",KRX,5940,Medium ESG Risk,28.3
"NHK Spring Co., Ltd.",TKS,5991,Low ESG Risk,16.2
NHN Corp.,KRX,181710,High ESG Risk,30.9
NHN KCP Corp.,KRX,60250,Medium ESG Risk,23.4
NHPC Ltd.,BOM,533098,Medium ESG Risk,21.8
"NI Holdings, Inc.",NAS,NODK,High ESG Risk,35.9
Niagara Health Systems,-,,High ESG Risk,30.3
Niagara Mohawk Power Corp.,-,,Low ESG Risk,13.8
NIB Holdings Ltd.,ASX,NHF,Medium ESG Risk,20.8
NIBC Bank NV,-,,Low ESG Risk,18.3
NIBC Holding NV,-,,Medium ESG Risk,20.5
NIBE Industrier AB,OME,NIBE.B,Low ESG Risk,19.4
"NICE Holdings Co., Ltd.",KRX,34310,High ESG Risk,32
"NICE Information Service Co., Ltd.",KRX,30190,Medium ESG Risk,29.5
NICE Ltd. (Israel),TAE,NICE,Low ESG Risk,15.1
"Nichi-Iko Pharmaceutical Co., Ltd.",-,,High ESG Risk,37.5
NICHIAS Corp.,TKS,5393,Medium ESG Risk,27.8
"Nichiban Co., Ltd.",TKS,4218,Negligible ESG Risk,9.2
Nichicon Corp.,TKS,6996,Medium ESG Risk,24.7
NICHIDEN Corp.,TKS,9902,Medium ESG Risk,25.5
Nichidenbo Corp.,TAI,3090,Medium ESG Risk,27.7
Nichiha Corp.,TKS,7943,Medium ESG Risk,29.9
Nichirei Corp.,TKS,2871,High ESG Risk,34.5
"Nichireki Co., Ltd.",TKS,5011,High ESG Risk,35
Nick Scali Ltd.,ASX,NCK,Low ESG Risk,15.2
Nickel Asia Corp.,PHS,NIKL,High ESG Risk,34.8
Nickel Industries Ltd.,ASX,NIC,Severe ESG Risk,45.1
"Nicolet Bankshares, Inc.",NYS,NIC,Medium ESG Risk,26
Nidec Chaun-Choung Technology Corp.,TAI,6230,Medium ESG Risk,21.6
NIDEC Corp.,TKS,6594,Medium ESG Risk,26.6
Niedersachsen Invest GmbH,-,,High ESG Risk,35.4
"Nien Made Enterprise Co., Ltd.",TAI,8464,Low ESG Risk,16.2
"Nifco, Inc.",TKS,7988,Medium ESG Risk,21.1
"NIHON CHOUZAI Co., Ltd.",TKS,3341,Medium ESG Risk,22.4
Nihon Kohden Corp.,TKS,6849,High ESG Risk,33.6
Nihon M&A Center Holdings Inc.,TKS,2127,Medium ESG Risk,27.5
"Nihon Nohyaku Co., Ltd.",TKS,4997,High ESG Risk,39.4
"Nihon Parkerizing Co., Ltd.",TKS,4095,Medium ESG Risk,28.4
"Nihon Tokushu Toryo Co., Ltd.",TKS,4619,Low ESG Risk,19.4
"Nihon Trim Co., Ltd.",TKS,6788,High ESG Risk,36.2
NIIT Ltd.,BOM,500304,Medium ESG Risk,20.8
"NIKE, Inc.",NYS,NKE,Low ESG Risk,19.6
"Nikkiso Co., Ltd.",TKS,6376,Medium ESG Risk,29.3
"NIKKON Holdings Co., Ltd.",TKS,9072,Medium ESG Risk,20.2
Nikola Corp.,NAS,NKLA,High ESG Risk,34
Nikon Corp.,TKS,7731,Low ESG Risk,15.8
Nilfisk Holding A/S,CSE,NLFSK,Medium ESG Risk,28
Nilörngruppen AB,OME,NIL.B,Low ESG Risk,15.3
Nine Dragons Paper Holdings Ltd.,HKG,2689,Medium ESG Risk,27.3
Nine Entertainment Co. Holdings Ltd.,ASX,NEC,Low ESG Risk,16.4
Ninestar Corp.,SHE,2180,Low ESG Risk,18.1
Ninety One Ltd.,JSE,NY1,High ESG Risk,30.1
Ninety One Plc,LON,N91,Medium ESG Risk,26.5
"Ningbo Haitian Precision Machinery Co., Ltd.",SHG,601882,High ESG Risk,37.7
"Ningbo Huaxiang Electronic Co., Ltd.",SHE,2048,Medium ESG Risk,25.3
Ningbo Joyson Electronic Corp.,SHG,600699,Medium ESG Risk,29.7
"Ningbo Peacebird Fashion Co., Ltd.",SHG,603877,Medium ESG Risk,21.1
"Ningbo Ronbay New Energy Technology Co., Ltd.",SHG,688005,High ESG Risk,31.6
"Ningbo Sanxing Medical Electric Co., Ltd.",SHG,601567,Medium ESG Risk,27.9
"Ningbo Tuopu Group Co., Ltd.",SHG,601689,Medium ESG Risk,28.8
"Ningbo Xusheng Group Co., Ltd.",SHG,603305,Medium ESG Risk,22.1
"Ningbo Zhenyu Technology Co., Ltd.",SHE,300953,High ESG Risk,35.5
"Ningbo Zhoushan Port Co., Ltd.",SHG,601018,Low ESG Risk,19.7
"Ningxia Baofeng Energy Group Co., Ltd.",SHG,600989,Medium ESG Risk,29.8
"Nintendo Co., Ltd.",TKS,7974,Low ESG Risk,16.9
"NIO, Inc.",HKG,9866,Medium ESG Risk,25.5
NIPPN Corp.,TKS,2001,High ESG Risk,33.2
"Nippon Accommodations Fund, Inc.",TKS,3226,Low ESG Risk,15.2
"Nippon Beet Sugar Manufacturing Co., Ltd.",TKS,2108,Severe ESG Risk,46.1
"Nippon Building Fund, Inc.",TKS,8951,Low ESG Risk,14.1
"Nippon Carbon Co., Ltd.",TKS,5302,Medium ESG Risk,28.2
"Nippon Ceramic Co., Ltd.",TKS,6929,Medium ESG Risk,27.2
Nippon Chemi-Con Corp.,TKS,6997,Medium ESG Risk,23.2
"Nippon Coke & Engineering Co., Ltd.",TKS,3315,Severe ESG Risk,51.3
"Nippon Denko Co., Ltd.",TKS,5563,Severe ESG Risk,50.7
"Nippon Densetsu Kogyo Co., Ltd.",TKS,1950,Severe ESG Risk,41.1
"Nippon Electric Glass Co., Ltd.",TKS,5214,Medium ESG Risk,21.9
"Nippon Express Holdings, Inc.",TKS,9147,Medium ESG Risk,24.4
"Nippon Fine Chemical Co., Ltd.",TKS,4362,High ESG Risk,32.6
"Nippon Gas Co., Ltd. (8174)",TKS,8174,High ESG Risk,33.2
"Nippon Kanzai Co., Ltd.",-,,Medium ESG Risk,26.1
"Nippon Kayaku Co., Ltd.",TKS,4272,High ESG Risk,32.2
"Nippon Koei Co., Ltd.",TKS,1954,High ESG Risk,35.1
Nippon Life India Asset Management Ltd.,BOM,540767,Low ESG Risk,20
"Nippon Light Metal Holdings Co., Ltd.",TKS,5703,Medium ESG Risk,29.3
"Nippon Paint Holdings Co., Ltd.",TKS,4612,High ESG Risk,34.7
"Nippon Paper Industries Co., Ltd.",TKS,3863,Medium ESG Risk,24.6
"Nippon Parking Development Co., Ltd.",TKS,2353,Medium ESG Risk,29.8
"Nippon Pillar Packing Co., Ltd.",TKS,6490,Medium ESG Risk,29.8
"Nippon Prologis REIT, Inc.",TKS,3283,Negligible ESG Risk,8.7
NIPPON REIT Investment Corp.,TKS,3296,Low ESG Risk,17.7
"NIPPON RIETEC CO., LTD.",TKS,1938,Severe ESG Risk,44.7
Nippon Sanso Holdings Corp.,TKS,4091,Medium ESG Risk,21.4
"Nippon Seiki Co., Ltd.",TKS,7287,Low ESG Risk,13.8
"Nippon Sharyo, Ltd.",TKS,7102,High ESG Risk,31.5
"Nippon Shinyaku Co., Ltd.",TKS,4516,High ESG Risk,32
"Nippon Shokubai Co., Ltd.",TKS,4114,High ESG Risk,30
"Nippon Soda Co., Ltd.",TKS,4041,Medium ESG Risk,26.1
NIPPON STEEL CORP.,TKS,5401,Severe ESG Risk,40
Nippon Steel Trading Corp.,TKS,9810,Medium ESG Risk,23.1
Nippon Telegraph & Telephone Corp.,TKS,9432,Medium ESG Risk,23.1
"Nippon Television Holdings, Inc.",TKS,9404,Low ESG Risk,18.8
"Nippon Thompson Co., Ltd.",TKS,6480,High ESG Risk,33.8
"Nippon Yakin Kogyo Co., Ltd.",TKS,5480,High ESG Risk,36.6
Nippon Yusen KK,TKS,9101,Medium ESG Risk,22
Nipro Corp.,TKS,8086,Medium ESG Risk,20.1
Nishat Mills Ltd.,KAR,NML,Medium ESG Risk,22.2
"Nishi-Nippon Financial Holdings, Inc.",TKS,7189,High ESG Risk,33.3
"Nishi-Nippon Railroad Co., Ltd.",TKS,9031,Medium ESG Risk,24.4
"Nishimatsu Construction Co., Ltd.",TKS,1820,High ESG Risk,39.3
"NISHIMATSUYA CHAIN Co., Ltd.",TKS,7545,Medium ESG Risk,22.7
"Nishio Holdings Co., Ltd.",TKS,9699,Medium ESG Risk,26.8
"NiSource, Inc.",NYS,NI,Medium ESG Risk,26
"Nissan Canada, Inc.",-,,Medium ESG Risk,26.1
Nissan Chemical Corp.,TKS,4021,Medium ESG Risk,25.1
Nissan Motor Acceptance Co.,-,,Medium ESG Risk,25.7
"Nissan Motor Co., Ltd.",TKS,7201,High ESG Risk,31.9
"Nissan Shatai Co., Ltd.",TKS,7222,Medium ESG Risk,22.4
"Nissei ASB Machine Co., Ltd.",TKS,6284,High ESG Risk,34.5
"Nissha Co., Ltd.",TKS,7915,Medium ESG Risk,20.1
"Nisshin Seifun Group, Inc.",TKS,2002,High ESG Risk,32
"Nisshinbo Holdings, Inc.",TKS,3105,Severe ESG Risk,42.5
Nissin Corp.,TKS,9066,Medium ESG Risk,26.1
Nissin Electric Co. Ltd.,-,,Medium ESG Risk,21.9
"Nissin Foods Holdings Co., Ltd.",TKS,2897,Medium ESG Risk,27.3
NISSO Corp.,TKS,6569,Low ESG Risk,11.9
Nissui Corp.,TKS,1332,High ESG Risk,32.4
"Niterra Co., Ltd.",TKS,5334,Medium ESG Risk,22.3
"Nitori Holdings Co., Ltd.",TKS,9843,Low ESG Risk,16.5
Nitta Corp.,TKS,5186,Medium ESG Risk,25.2
